th,year,dstrct_id,dstrct_Kanji,当落,Win(1:3),vote,vote_pcnt,candidate_name,gender,DOB,terms,party,派閥,派閥系統,新旧,推薦
41,1996,id01_01_01,北海道１区,当,1,102577,45.9,横路孝弘,男,1941/1/3 0:00,6,民,,,元,社民
41,1996,id01_01_01,北海道１区,-,3,56265,25.2,馬杉栄一,,,,自,,,新,
41,1996,id01_01_01,北海道１区,-,3,32703,14.6,小村貞三,,,,共,,,新,
41,1996,id01_01_01,北海道１区,-,3,32019,14.3,長谷川岳,男,1971/2/16 0:00,,無,,,新,
41,1996,id01_01_02,北海道２区,当,1,73697,34.7,長内順一,,,2,進,公,,前,
41,1996,id01_01_02,北海道２区,比当,2,63524,29.9,吉川貴盛,男,1950/10/20 0:00,,自,生,,新,
41,1996,id01_01_02,北海道２区,-,3,48273,22.8,山根幸嗣,,,,共,,,新,
41,1996,id01_01_02,北海道２区,-,3,20009,9.4,松木謙公,男,1959/2/22 0:00,,合,,,新,
41,1996,id01_01_02,北海道２区,-,3,6653,3.1,沢田健一,,,,諸,,,新,
41,1996,id01_01_03,北海道３区,当,1,54275,26.3,石崎岳,男,1955/7/9 0:00,1,自,,,新,
41,1996,id01_01_03,北海道３区,-,3,51479,25,荒井聡,,,,民,さ,,前,さきがけ
41,1996,id01_01_03,北海道３区,-,3,50902,24.7,三井辨雄,男,1942/11/24 0:00,,進,生,,新,
41,1996,id01_01_03,北海道３区,比当,2,40623,19.7,児玉健次,,,,共,,,元,
41,1996,id01_01_03,北海道３区,-,3,9010,4.4,打本智香,,,,会,,,新,
41,1996,id01_01_04,北海道４区,当,1,58371,30.7,佐藤静雄,男,1941/10/9 0:00,3,自,合,,前,
41,1996,id01_01_04,北海道４区,-,3,53332,28.1,鈴木康司,,,,進,,,新,
41,1996,id01_01_04,北海道４区,-,3,51714,27.2,池田隆一,,,,民,社,,前,
41,1996,id01_01_04,北海道４区,-,3,26562,14,大和時也,,,,共,,,新,
41,1996,id01_01_05,北海道５区,当,1,113282,49.8,町村信孝,男,1944/10/17 0:00,5,自,三,清和会,前,
41,1996,id01_01_05,北海道５区,-,3,61846,27.2,小野健太郎,,,,進,,,新,
41,1996,id01_01_05,北海道５区,-,3,44885,19.7,宮内聡,男,1963/4/10 0:00,,共,,,新,
41,1996,id01_01_05,北海道５区,-,3,7576,3.3,池中万吏江,,,,合,,,新,
41,1996,id01_01_06,北海道６区,当,1,76572,48.7,佐々木秀典,,,3,民,社,,前,
41,1996,id01_01_06,北海道６区,-,3,46609,29.7,今津寛,男,1946/9/30 0:00,,自,進,,前,
41,1996,id01_01_06,北海道６区,-,3,16992,10.8,荻生和敏,男,1949/11/19 0:00,,共,,,新,
41,1996,id01_01_06,北海道６区,-,3,16982,10.8,佐々木栄一,,,,無,,,新,
41,1996,id01_01_07,北海道７区,当,1,65955,34.4,金田英行,男,1942/12/30 0:00,2,自,三,清和会,前,
41,1996,id01_01_07,北海道７区,-,3,62549,32.6,桜庭康喜,,,,民,社,,新,
41,1996,id01_01_07,北海道７区,-,3,52300,27.2,上草義輝,,,,進,自,,元,
41,1996,id01_01_07,北海道７区,-,3,11149,5.8,猿子昌正,,,,共,,,新,
41,1996,id01_01_08,北海道８区,当,1,110305,47.5,鉢呂吉雄,男,1948/1/25 0:00,3,民,社,,前,
41,1996,id01_01_08,北海道８区,比当,2,94700,40.8,佐藤孝行,,,,自,渡,志帥会,前,
41,1996,id01_01_08,北海道８区,-,3,27058,11.7,高橋佳大,男,1959/7/7 0:00,,共,,,新,
41,1996,id01_01_09,北海道９区,当,1,131936,52.8,鳩山由紀夫,男,1947/2/11 0:00,4,民,さ,,前,
41,1996,id01_01_09,北海道９区,-,3,68793,27.5,高橋辰夫,,,,自,三,清和会,前,
41,1996,id01_01_09,北海道９区,-,3,49196,19.7,紙智子,,,,共,,,新,
41,1996,id01_01_10,北海道１０区,当,1,100489,49.8,小平忠正,男,1942/3/18 0:00,3,民,さ,,前,
41,1996,id01_01_10,北海道１０区,-,3,72641,36,渡辺省一,,,,自,宮,宏池会,前,
41,1996,id01_01_10,北海道１０区,-,3,28609,14.2,藤崎勲,,,,共,,,新,
41,1996,id01_01_11,北海道１１区,当,1,97428,53.5,中川昭一,男,1953/7/19 0:00,5,自,三,清和会,前,
41,1996,id01_01_11,北海道１１区,-,3,67250,37,池本柳次,,,,民,社,,新,新進（支持）
41,1996,id01_01_11,北海道１１区,-,3,17319,9.5,佐藤糸江,,,,共,,,新,
41,1996,id01_01_12,北海道１２区,当,1,92114,52,武部勤,男,1941/5/1 0:00,4,自,渡,志帥会,前,
41,1996,id01_01_12,北海道１２区,-,3,69971,39.5,永井哲男,,,,民,社,,前,新進
41,1996,id01_01_12,北海道１２区,-,3,14976,8.5,村口照美,,,,共,,,新,
41,1996,id01_01_13,北海道１３区,当,1,83490,42.8,北村直人,男,1947/7/7 0:00,4,進,生,,前,
41,1996,id01_01_13,北海道１３区,比当,2,55491,28.4,鈴木宗男,男,1948/1/31 0:00,,自,小,平成研,前,
41,1996,id01_01_13,北海道１３区,-,3,41565,21.3,岡田篤,,,,民,社,,新,
41,1996,id01_01_13,北海道１３区,-,3,14736,7.5,石川明美,男,1951/5/16 0:00,,共,,,新,
41,1996,id02_02_01,青森県１区,当,1,86411,43.6,津島雄二,男,1930/1/24 0:00,8,自,,,前,
41,1996,id02_02_01,青森県１区,-,3,71999,36.4,工藤隆一,,,,進,,,新,
41,1996,id02_02_01,青森県１区,-,3,24075,12.2,今村修,,,,社,,,前,さきがけ
41,1996,id02_02_01,青森県１区,-,3,15548,7.9,富樫秀雄,,,,共,,,新,
41,1996,id02_02_02,青森県２区,当,1,63672,41.9,江渡聡徳,男,1955/10/12 0:00,1,自,,,新,
41,1996,id02_02_02,青森県２区,-,3,62907,41.4,三村申吾,,,,進,自,,新,
41,1996,id02_02_02,青森県２区,-,3,11581,7.6,戸来勉,,,,民,,,新,
41,1996,id02_02_02,青森県２区,-,3,8705,5.7,建部玲子,,,,社,,,新,
41,1996,id02_02_02,青森県２区,-,3,5235,3.4,相馬和孝,,,,共,,,新,
41,1996,id02_02_03,青森県３区,当,1,96628,52.5,大島理森,男,1946/9/6 0:00,5,自,河,志公会,前,さきがけ
41,1996,id02_02_03,青森県３区,-,3,81460,44.2,田名部匡省,,,,進,生,,前,
41,1996,id02_02_03,青森県３区,-,3,6119,3.3,松橋三夫,男,1949/7/14 0:00,,共,,,新,
41,1996,id02_02_04,青森県４区,当,1,101059,52.4,木村太郎,男,1965/7/20 0:00,1,進,生,,新,
41,1996,id02_02_04,青森県４区,-,3,70590,36.6,津島恭一,男,1954/2/4 0:00,,自,進,,新,
41,1996,id02_02_04,青森県４区,-,3,21034,10.9,木村昭四郎,,,,共,,,新,
41,1996,id02_03_01,岩手県１区,当,1,67420,40.6,達増拓也,男,1964/6/10 0:00,1,進,,,新,
41,1996,id02_03_01,岩手県１区,比当,2,49665,29.9,玉沢徳一郎,男,1937/12/16 0:00,,自,三,清和会,前,
41,1996,id02_03_01,岩手県１区,-,3,17087,10.3,中村力,,,,無,,,前,
41,1996,id02_03_01,岩手県１区,-,3,16758,10.1,山中邦紀,,,,社,,,元,
41,1996,id02_03_01,岩手県１区,-,3,10668,6.4,佐久間敏子,,,,共,,,新,
41,1996,id02_03_01,岩手県１区,-,3,4551,2.7,後藤百合子,,,,民,,,新,
41,1996,id02_03_02,岩手県２区,当,1,95913,47.6,鈴木俊一,男,1953/4/13 0:00,3,自,宮,宏池会,前,
41,1996,id02_03_02,岩手県２区,-,3,83038,41.2,工藤堅太郎,,,,進,生,,前,
41,1996,id02_03_02,岩手県２区,-,3,12081,6,佐藤謙一,,,,社,,,新,
41,1996,id02_03_02,岩手県２区,-,3,10533,5.2,久慈裕子,,,,共,,,新,
41,1996,id02_03_03,岩手県３区,当,1,103952,57.5,佐々木洋平,,,1,進,,,新,
41,1996,id02_03_03,岩手県３区,-,3,58881,32.6,志賀節,,,,自,河,志公会,前,
41,1996,id02_03_03,岩手県３区,-,3,17846,9.9,小野寺永子,,,,共,,,新,
41,1996,id02_03_04,岩手県４区,当,1,125619,64.7,小沢一郎,男,1942/5/24 0:00,10,進,生,,前,
41,1996,id02_03_04,岩手県４区,-,3,38482,19.8,沢藤礼次郎,,,,社,,,前,さきがけ
41,1996,id02_03_04,岩手県４区,-,3,20179,10.4,井形厚一,,,,自,,,新,
41,1996,id02_03_04,岩手県４区,-,3,9933,5.1,八重樫奈都子,,,,共,,,新,
