th,year,dstrct_id,dstrct_Kanji,当落,Win(1:3),vote,vote_pcnt,candidate_name,gender,DOB,terms,party,派閥,派閥系統,新旧,推薦
41,1996,id02_04_01,宮城県１区,当,1,77817,40.8,愛知和男,男,1937/7/20 0:00,8,進,生,,前,
41,1996,id02_04_01,宮城県１区,-,3,56537,29.7,岡崎トミ子,,,,民,社,,前,
41,1996,id02_04_01,宮城県１区,-,3,28351,14.9,浅野公道,,,,自,進,,新,
41,1996,id02_04_01,宮城県１区,-,3,26346,13.8,遠藤いく子,,,,共,,,新,
41,1996,id02_04_01,宮城県１区,-,3,1535,0.8,岡本正哉,,,,無,,,新,
41,1996,id02_04_02,宮城県２区,当,1,68137,35.8,中野正志,男,1948/2/29 0:00,1,自,,,新,
41,1996,id02_04_02,宮城県２区,-,3,62533,32.9,千葉国男,,,,進,公,,前,
41,1996,id02_04_02,宮城県２区,-,3,27328,14.4,佐藤豊,男,1953/2/8 0:00,,民,日,,新,
41,1996,id02_04_02,宮城県２区,-,3,18157,9.5,五島平,男,1951/3/8 0:00,,共,,,新,
41,1996,id02_04_02,宮城県２区,-,3,12629,6.6,石川建治,,,,社,,,新,
41,1996,id02_04_02,宮城県２区,-,3,1490,0.8,五十嵐辰也,,,,合,,,新,
41,1996,id02_04_03,宮城県３区,当,1,81784,53.1,三塚博,,,9,自,三,清和会,前,
41,1996,id02_04_03,宮城県３区,-,3,53150,34.5,百足健一,,,,進,生,,新,
41,1996,id02_04_03,宮城県３区,-,3,18972,12.3,大友ひろみ,,,,共,,,新,
41,1996,id02_04_04,宮城県４区,当,1,75196,44.7,伊藤宗一郎,,,12,自,河,志公会,前,
41,1996,id02_04_04,宮城県４区,-,3,59436,35.3,仁田和広,,,,進,自,,新,
41,1996,id02_04_04,宮城県４区,-,3,18813,11.2,菅原国夫,,,,共,,,新,
41,1996,id02_04_04,宮城県４区,-,3,14887,8.8,佐藤芳博,,,,社,,,新,さきがけ
41,1996,id02_04_05,宮城県５区,当,1,54550,40.1,安住淳,男,1962/1/17 0:00,1,民,さ,,新,
41,1996,id02_04_05,宮城県５区,-,3,50139,36.8,土井喜美夫,,,,進,生,,新,
41,1996,id02_04_05,宮城県５区,-,3,16407,12.1,二見剛,,,,自,,,新,
41,1996,id02_04_05,宮城県５区,-,3,8122,6,須田吉隆,,,,社,,,新,
41,1996,id02_04_05,宮城県５区,-,3,6854,5,内藤隆司,男,1958/8/13 0:00,,共,,,新,
41,1996,id02_04_06,宮城県６区,当,1,70765,45,菊池福治郎,,,7,自,宮,宏池会,前,
41,1996,id02_04_06,宮城県６区,-,3,70114,44.6,大石正光,,,,進,自,,前,
41,1996,id02_04_06,宮城県６区,-,3,8171,5.2,芳賀芳昭,,,,共,,,新,
41,1996,id02_04_06,宮城県６区,-,3,7566,4.8,三上良喜,,,,民,社,,新,
41,1996,id02_04_06,宮城県６区,-,3,757,0.5,千葉佳男,,,,合,,,元,
41,1996,id02_05_01,秋田県１区,当,1,95194,45.5,佐藤敬夫,男,1935/6/4 0:00,4,進,み,,元,民主
41,1996,id02_05_01,秋田県１区,比当,2,84625,40.4,二田孝治,男,1938/5/4 0:00,,自,宮,宏池会,前,さきがけ
41,1996,id02_05_01,秋田県１区,-,3,29514,14.1,荻原和子,,,,共,,,新,
41,1996,id02_05_02,秋田県２区,当,1,86677,54.9,野呂田芳成,男,1929/10/25 0:00,5,自,小,平成研,前,
41,1996,id02_05_02,秋田県２区,比当,2,54131,34.3,畠山健治郎,,,,社,,,前,さきがけ
41,1996,id02_05_02,秋田県２区,-,3,11172,7.1,工藤良一,男,1954/4/22 0:00,,共,,,新,
41,1996,id02_05_02,秋田県２区,-,3,5774,3.7,三浦卓,,,,合,,,新,
41,1996,id02_05_03,秋田県３区,当,1,150956,57.9,村岡兼造,,,8,自,小,平成研,前,
41,1996,id02_05_03,秋田県３区,-,3,85390,32.7,寺田創,,,,進,,,新,
41,1996,id02_05_03,秋田県３区,-,3,24405,9.4,藤井利夫,,,,共,,,新,
41,1996,id02_06_01,山形県１区,当,1,81047,48.3,鹿野道彦,男,1942/1/24 0:00,8,進,み,,前,
41,1996,id02_06_01,山形県１区,比当,2,60748,36.2,遠藤利明,男,1950/1/17 0:00,,自,日,,前,
41,1996,id02_06_01,山形県１区,-,3,15002,8.9,山崎晋吾,,,,社,,,新,
41,1996,id02_06_01,山形県１区,-,3,10955,6.5,井上龍男,,,,共,,,新,
41,1996,id02_06_02,山形県２区,当,1,94211,50.9,遠藤武彦,男,1938/10/5 0:00,3,無,,,元,新進・民主・公明
41,1996,id02_06_02,山形県２区,-,3,74500,40.3,近藤鉄雄,,,,自,河,志公会,前,
41,1996,id02_06_02,山形県２区,-,3,8993,4.9,岩本康嗣,男,1965/2/28 0:00,,共,,,新,
41,1996,id02_06_02,山形県２区,-,3,7356,4,千葉常義,,,,会,,,新,
41,1996,id02_06_03,山形県３区,当,1,88389,58.1,近岡理一郎,,,6,自,小,平成研,前,
41,1996,id02_06_03,山形県３区,-,3,54640,35.9,斉藤昌助,,,,無,,,新,新進・民主・社民・さきがけ・公明
41,1996,id02_06_03,山形県３区,-,3,9162,6,遠藤宏司,,,,共,,,新,
41,1996,id02_06_04,山形県４区,当,1,112033,65.8,加藤紘一,男,1939/6/17 0:00,9,自,宮,宏池会,前,
41,1996,id02_06_04,山形県４区,-,3,38139,22.4,寒河江孝允,,,,進,日,,新,
41,1996,id02_06_04,山形県４区,-,3,20171,11.8,佐藤慎司,,,,共,,,新,
41,1996,id02_07_01,福島県１区,当,1,102950,40.4,佐藤剛男,男,1937/7/16 0:00,2,自,渡,志帥会,前,
41,1996,id02_07_01,福島県１区,-,3,93347,36.6,石原健太郎,,,,無,合,,元,新進・公明・自連
41,1996,id02_07_01,福島県１区,-,3,38196,15,佐藤恒晴,,,,社,,,元,さきがけ
41,1996,id02_07_01,福島県１区,-,3,20451,8,岡崎勝男,,,,共,,,新,
41,1996,id02_07_02,福島県２区,当,1,100102,49.3,根本匠,男,1951/3/7 0:00,2,自,宮,宏池会,前,
41,1996,id02_07_02,福島県２区,-,3,88661,43.6,増子輝彦,男,1947/10/8 0:00,,進,み,,前,
41,1996,id02_07_02,福島県２区,-,3,14412,7.1,飛田利光,,,,共,,,新,
41,1996,id02_07_03,福島県３区,当,1,91747,46.2,荒井広幸,,,2,自,三,清和会,前,
41,1996,id02_07_03,福島県３区,比当,2,88214,44.4,玄葉光一郎,男,1964/5/20 0:00,,民,さ,,前,
41,1996,id02_07_03,福島県３区,-,3,11031,5.6,鈴木正一,,,,共,,,新,
41,1996,id02_07_03,福島県３区,-,3,7688,3.9,鈴木尚之,,,,無,民,,新,
41,1996,id02_07_04,福島県４区,当,1,93960,48.7,渡部恒三,男,1932/5/24 0:00,10,進,生,,前,
41,1996,id02_07_04,福島県４区,-,3,87643,45.5,斎藤文昭,,,,自,宮,宏池会,前,
41,1996,id02_07_04,福島県４区,-,3,11226,5.8,原田俊広,男,1959/8/8 0:00,,共,,,新,
41,1996,id02_07_05,福島県５区,当,1,79027,38.2,坂本剛二,男,1944/11/2 0:00,3,進,み,,前,
41,1996,id02_07_05,福島県５区,-,3,78690,38.1,田中直紀,,,,自,宮,宏池会,前,
41,1996,id02_07_05,福島県５区,-,3,34082,16.5,鈴木久,男,1940/8/23 0:00,,民,社,,元,
41,1996,id02_07_05,福島県５区,-,3,14862,7.2,佐藤敏彦,,,,共,,,新,
41,1996,id03_08_01,茨城県１区,当,1,114796,52.7,赤城徳彦,男,1959/4/18 0:00,3,自,河,志公会,前,
41,1996,id03_08_01,茨城県１区,-,3,63069,29,塚田延充,,,,進,民,,前,
41,1996,id03_08_01,茨城県１区,-,3,24730,11.4,時崎雄司,,,,民,社,,元,
41,1996,id03_08_01,茨城県１区,-,3,15185,7,関戸秀子,,,,共,,,新,
41,1996,id03_08_02,茨城県２区,当,1,109139,61.9,額賀福志郎,男,1944/1/11 0:00,5,自,小,平成研,前,
41,1996,id03_08_02,茨城県２区,-,3,54138,30.7,常井美治,,,,進,,,新,
41,1996,id03_08_02,茨城県２区,-,3,13039,7.4,横倉達士,,,,共,,,新,
41,1996,id03_08_03,茨城県３区,当,1,89822,50,中山利生,,,8,自,小,平成研,前,
41,1996,id03_08_03,茨城県３区,-,3,59080,32.9,永岡洋治,,,,進,,,新,
41,1996,id03_08_03,茨城県３区,-,3,26815,14.9,上野高志,男,1964/9/24 0:00,,共,,,新,
41,1996,id03_08_03,茨城県３区,-,3,4090,2.3,阿部昭,,,,合,,,新,
41,1996,id03_08_04,茨城県４区,当,1,112977,68.3,梶山静六,,,9,自,小,平成研,前,
41,1996,id03_08_04,茨城県４区,-,3,38028,23,斎藤全一郎,,,,進,日,,新,
41,1996,id03_08_04,茨城県４区,-,3,14325,8.7,根本道直,,,,共,,,新,
41,1996,id03_08_05,茨城県５区,当,1,69369,51.5,塚原俊平,,,8,自,三,清和会,前,
41,1996,id03_08_05,茨城県５区,比当,2,53497,39.8,大畠章宏,男,1947/10/5 0:00,,民,社,,前,
41,1996,id03_08_05,茨城県５区,-,3,9698,7.2,藤田邦良,男,1951/2/3 0:00,,共,,,新,
41,1996,id03_08_05,茨城県５区,-,3,2007,1.5,高木豊,,,,無,,,新,
41,1996,id03_08_06,茨城県６区,当,1,110495,56.9,丹羽雄哉,男,1944/4/20 0:00,7,自,宮,宏池会,前,
41,1996,id03_08_06,茨城県６区,-,3,39372,20.3,小林邦男,,,,進,,,新,
41,1996,id03_08_06,茨城県６区,-,3,20035,10.3,小松豊正,,,,共,,,新,
41,1996,id03_08_06,茨城県６区,-,3,15410,7.9,中原恵人,,,,さ,,,新,
41,1996,id03_08_06,茨城県６区,-,3,7369,3.8,柳沢雅美,,,,会,,,新,
41,1996,id03_08_06,茨城県６区,-,3,1516,0.8,叶屋博基,,,,合,,,新,
41,1996,id03_08_07,茨城県７区,当,1,100175,53.6,中村喜四郎,男,1949/4/10 0:00,8,無,自,,前,
41,1996,id03_08_07,茨城県７区,-,3,72208,38.7,田中勝也,,,,進,生,,新,
41,1996,id03_08_07,茨城県７区,-,3,12032,6.4,小島修,,,,共,,,新,
41,1996,id03_08_07,茨城県７区,-,3,2348,1.3,前川紀昭,,,,合,,,新,
41,1996,id03_09_01,栃木県１区,当,1,127503,63.4,船田元,男,1953/11/22 0:00,7,無,進,,前,
41,1996,id03_09_01,栃木県１区,-,3,57240,28.4,簗瀬進,,,,民,さ,,前,新進（支持）
41,1996,id03_09_01,栃木県１区,-,3,12154,6,滝友二,,,,共,,,新,
41,1996,id03_09_01,栃木県１区,-,3,4345,2.2,西弘次,,,,合,,,新,
41,1996,id03_09_02,栃木県２区,当,1,73393,52.6,西川公也,男,1942/12/26 0:00,1,自,,,新,
41,1996,id03_09_02,栃木県２区,比当,2,55439,39.7,小林守,,,,民,社,,前,
41,1996,id03_09_02,栃木県２区,-,3,8846,6.3,小林年治,,,,共,,,新,
41,1996,id03_09_02,栃木県２区,-,3,1960,1.4,高橋功,,,,合,,,新,
41,1996,id03_09_03,栃木県３区,当,1,90082,83.4,渡辺喜美,男,1952/3/17 0:00,1,自,,,新,
41,1996,id03_09_03,栃木県３区,-,3,17990,16.6,槙昌三,男,1943/9/13 0:00,,共,,,新,
41,1996,id03_09_04,栃木県４区,当,1,117851,53.3,佐藤勉,男,1952/6/20 0:00,1,自,,,新,
41,1996,id03_09_04,栃木県４区,-,3,83383,37.7,山岡賢次,男,1943/4/25 0:00,,進,生,,前,
41,1996,id03_09_04,栃木県４区,-,3,14899,6.7,青木弘,男,1961/1/15 0:00,,共,,,新,
41,1996,id03_09_04,栃木県４区,-,3,4848,2.2,入野正明,,,,無,,,新,
41,1996,id03_09_05,栃木県５区,当,1,77659,47.5,茂木敏充,男,1955/10/7 0:00,2,自,日,,前,さきがけ
41,1996,id03_09_05,栃木県５区,-,3,70067,42.8,進藤初洋,,,,進,生,,新,
41,1996,id03_09_05,栃木県５区,-,3,12435,7.6,藤掛久夫,,,,共,,,新,
41,1996,id03_09_05,栃木県５区,-,3,3418,2.1,井上和子,,,,合,,,新,
41,1996,id03_10_01,群馬県１区,当,1,110103,49.9,尾身幸次,男,1932/12/14 0:00,5,自,三,清和会,前,
41,1996,id03_10_01,群馬県１区,-,3,58025,26.3,熊川次男,,,,進,自,,元,
41,1996,id03_10_01,群馬県１区,-,3,31358,14.2,高橋仁,男,1964/11/24 0:00,,民,,,新,
41,1996,id03_10_01,群馬県１区,-,3,21193,9.6,長谷川薫,,,,共,,,新,
41,1996,id03_10_02,群馬県２区,当,1,81026,47.1,笹川尭,男,1935/10/5 0:00,4,進,自,,前,
41,1996,id03_10_02,群馬県２区,-,3,59230,34.5,森田修,,,,自,,,新,
41,1996,id03_10_02,群馬県２区,-,3,20183,11.7,小菅啓司,男,1950/12/8 0:00,,共,,,新,
41,1996,id03_10_02,群馬県２区,-,3,11484,6.7,最上進,,,,合,自,,新,
41,1996,id03_10_03,群馬県３区,当,1,85562,51.5,谷津義男,男,1934/7/23 0:00,4,自,三,清和会,前,
41,1996,id03_10_03,群馬県３区,-,3,41452,24.9,笹川博義,男,1966/8/29 0:00,,進,自,,新,
41,1996,id03_10_03,群馬県３区,-,3,28901,17.4,長沼広,,,,民,社,,新,
41,1996,id03_10_03,群馬県３区,-,3,10262,6.2,渋沢哲男,男,1959/6/18 0:00,,共,,,新,
41,1996,id03_10_04,群馬県４区,当,1,73674,46,福田康夫,男,1936/7/16 0:00,3,自,三,清和会,前,
41,1996,id03_10_04,群馬県４区,-,3,45134,28.2,駒井実,男,1941/6/23 0:00,,進,生,,新,
41,1996,id03_10_04,群馬県４区,-,3,24977,15.6,中島政希,男,1953/8/13 0:00,,民,さ,,新,社民
41,1996,id03_10_04,群馬県４区,-,3,16425,10.3,飯塚俊彦,,,,共,,,新,
41,1996,id03_10_05,群馬県５区,当,1,127052,70.7,小渕恵三,,,12,自,小,平成研,前,
41,1996,id03_10_05,群馬県５区,-,3,33218,18.5,柴山美雪,,,,民,社,,新,社民
41,1996,id03_10_05,群馬県５区,-,3,19438,10.8,住谷輝彦,,,,共,,,新,
41,1996,id03_11_01,埼玉県１区,当,1,85109,39,松永光,,,10,自,渡,志帥会,前,
41,1996,id03_11_01,埼玉県１区,-,3,79930,36.6,浜田卓二郎,,,,進,生,,元,
41,1996,id03_11_01,埼玉県１区,-,3,46243,21.2,富樫練三,,,,共,,,新,
41,1996,id03_11_01,埼玉県１区,-,3,7177,3.3,中郡聡,,,,合,,,新,
41,1996,id03_11_02,埼玉県２区,当,1,76252,36.6,石田勝之,男,1955/1/30 0:00,2,進,さ,,前,
41,1996,id03_11_02,埼玉県２区,比当,2,75642,36.3,新藤義孝,男,1958/1/20 0:00,,自,,,新,
41,1996,id03_11_02,埼玉県２区,-,3,35719,17.1,石井多計志,,,,共,,,新,
41,1996,id03_11_02,埼玉県２区,-,3,17329,8.3,前原博孝,,,,民,さ,,新,
41,1996,id03_11_02,埼玉県２区,-,3,2466,1.2,田村正敏,,,,合,,,新,
41,1996,id03_11_02,埼玉県２区,-,3,896,0.4,酒井強,,,,無,,,新,
41,1996,id03_11_03,埼玉県３区,当,1,63841,31.4,今井宏,男,1941/7/15 0:00,2,進,日,,前,
41,1996,id03_11_03,埼玉県３区,-,3,54703,26.9,野口卓爾,,,,自,,,新,
41,1996,id03_11_03,埼玉県３区,比当,2,45400,22.3,細川律夫,男,1943/8/8 0:00,,民,社,,前,
41,1996,id03_11_03,埼玉県３区,-,3,25792,12.7,熊木仁,,,,共,,,新,
41,1996,id03_11_03,埼玉県３区,-,3,13524,6.7,井上豊治,,,,無,社,,新,
41,1996,id03_11_04,埼玉県４区,当,1,72420,39.3,上田清司,,,2,進,生,,前,
41,1996,id03_11_04,埼玉県４区,-,3,46869,25.4,早川忠孝,男,1945/9/4 0:00,,自,,,新,
41,1996,id03_11_04,埼玉県４区,-,3,33670,18.2,綾部澄子,女,1959/1/26 0:00,,共,,,新,
41,1996,id03_11_04,埼玉県４区,-,3,28401,15.4,石塚聡,,,,民,社,,新,
41,1996,id03_11_04,埼玉県４区,-,3,3140,1.7,早川竜介,,,,合,,,新,
41,1996,id03_11_05,埼玉県５区,当,1,63120,30.9,福永信彦,,,3,自,宮,宏池会,前,
41,1996,id03_11_05,埼玉県５区,-,3,54032,26.4,金子善次郎,男,1943/9/24 0:00,,進,,,新,
41,1996,id03_11_05,埼玉県５区,比当,2,51425,25.2,枝野幸男,男,1964/5/31 0:00,,民,さ,,前,さきがけ
41,1996,id03_11_05,埼玉県５区,-,3,33643,16.5,藤原幸朗,,,,共,,,新,
41,1996,id03_11_05,埼玉県５区,-,3,2127,1,阿部政幸,,,,合,,,新,
41,1996,id03_11_06,埼玉県６区,当,1,71944,36.9,若松謙維,男,1955/8/5 0:00,2,進,公,,前,
41,1996,id03_11_06,埼玉県６区,-,3,63505,32.6,茶谷滋,,,,自,,,新,
41,1996,id03_11_06,埼玉県６区,-,3,39480,20.2,高村雅子,,,,共,,,新,
41,1996,id03_11_06,埼玉県６区,比当,2,17909,9.2,深田肇,,,,社,,,新,さきがけ
41,1996,id03_11_06,埼玉県６区,-,3,2201,1.1,石川八郎,,,,合,,,新,
41,1996,id03_11_07,埼玉県７区,当,1,74905,39,中野清,男,1936/1/1 0:00,1,進,生,,新,
41,1996,id03_11_07,埼玉県７区,-,3,44767,23.3,小宮山徹,,,,自,,,新,
41,1996,id03_11_07,埼玉県７区,比当,2,40245,20.9,矢島恒夫,,,,共,,,前,
41,1996,id03_11_07,埼玉県７区,-,3,22751,11.8,伊藤雄一郎,,,,民,,,新,
41,1996,id03_11_07,埼玉県７区,-,3,8452,4.4,佐藤時弘,,,,社,,,新,
41,1996,id03_11_07,埼玉県７区,-,3,1088,0.6,根岸進,,,,合,,,新,
41,1996,id03_11_08,埼玉県８区,当,1,50712,31.2,並木正芳,男,1949/5/19 0:00,1,進,自,,新,
41,1996,id03_11_08,埼玉県８区,-,3,47784,29.4,新井正則,,,,自,,,新,
41,1996,id03_11_08,埼玉県８区,-,3,30047,18.5,当麻好子,,,,民,社,,新,
41,1996,id03_11_08,埼玉県８区,-,3,28327,17.4,石田道男,,,,共,,,新,
41,1996,id03_11_08,埼玉県８区,-,3,5619,3.5,原武夫,,,,合,,,新,
41,1996,id03_11_09,埼玉県９区,当,1,77998,37.8,大野松茂,男,1936/1/15 0:00,1,自,,,新,
41,1996,id03_11_09,埼玉県９区,-,3,46471,22.5,五十嵐ふみひこ,,,,民,さ,,前,
41,1996,id03_11_09,埼玉県９区,-,3,43273,21,松本泰高,男,1947/4/13 0:00,,進,,,新,
41,1996,id03_11_09,埼玉県９区,-,3,29601,14.4,塩川鉄也,男,1961/12/18 0:00,,共,,,新,
41,1996,id03_11_09,埼玉県９区,-,3,8922,4.3,石井健祐,,,,合,,,新,
41,1996,id03_11_10,埼玉県１０区,当,1,74839,46.4,山口泰明,男,1948/11/10 0:00,1,自,,,新,
41,1996,id03_11_10,埼玉県１０区,-,3,43644,27,松崎哲久,男,1950/4/14 0:00,,民,日,,新,
41,1996,id03_11_10,埼玉県１０区,-,3,28999,18,武藤晴子,,,,共,,,新,
41,1996,id03_11_10,埼玉県１０区,-,3,10593,6.6,山口佳子,,,,無,,,新,
